,resultId,NN_Outcome,NN_Bin
1,23380,1,1
821,24204,2,1
401,23783,3,1
0,23379,4,2
16,23395,5,2
823,24206,6,2
400,23782,7,3
402,23784,8,3
3,23382,9,3
824,24207,10,3
822,24205,11,4
4,23383,12,4
403,23785,13,4
405,23787,14,4
416,23798,15,4
831,24214,16,4
19,23398,17,4
13,23392,18,4
825,24208,19,4
404,23786,20,4
837,24220,21,4
820,24203,22,4
415,23797,23,4
2,23381,24,4
9,23388,25,4
827,24210,26,4
406,23788,27,4
411,23793,28,4
408,23790,29,4
12,23391,30,4
14,23393,31,4
5,23384,32,4
10,23389,33,4
838,24221,34,4
826,24209,35,4
830,24213,36,4
8,23387,37,4
18,23397,38,4
413,23795,39,4
409,23791,40,4
833,24216,41,4
832,24215,42,4
6,23385,43,4
834,24217,44,4
7,23386,45,4
839,24222,46,4
407,23789,47,4
828,24211,48,4
829,24212,49,4
410,23792,50,4
17,23396,51,4
414,23796,52,4
11,23390,53,4
419,23801,54,4
15,23394,55,4
418,23800,56,4
417,23799,57,4
835,24218,58,4
836,24219,59,4
412,23794,60,4
20,23399,1,1
840,24223,2,1
420,23802,3,1
21,23400,4,2
422,23804,5,2
844,24227,6,2
437,23819,7,3
842,24225,8,3
439,23821,9,3
23,23402,10,3
24,23403,11,4
843,24226,12,4
424,23806,13,4
852,24235,14,4
429,23811,15,4
25,23404,16,4
35,23414,17,4
31,23410,18,4
421,23803,19,4
423,23805,20,4
27,23406,21,4
427,23809,22,4
426,23808,23,4
847,24230,24,4
438,23820,25,4
22,23401,26,4
845,24228,27,4
841,24224,28,4
29,23408,29,4
425,23807,30,4
859,24242,31,4
37,23416,32,4
857,24240,33,4
846,24229,34,4
39,23418,35,4
430,23812,36,4
33,23412,37,4
858,24241,38,4
432,23814,39,4
30,23409,40,4
28,23407,41,4
32,23411,42,4
856,24239,43,4
435,23817,44,4
436,23818,45,4
36,23415,46,4
848,24231,47,4
849,24232,48,4
26,23405,49,4
34,23413,50,4
850,24233,51,4
434,23816,52,4
851,24234,53,4
853,24236,54,4
428,23810,55,4
433,23815,56,4
38,23417,57,4
854,24237,58,4
431,23813,59,4
855,24238,60,4
41,23420,1,1
860,24243,2,1
443,23825,3,1
447,23829,4,2
40,23419,5,2
862,24245,6,2
44,23423,7,3
442,23824,8,3
43,23422,9,3
865,24248,10,3
440,23822,11,4
57,23436,12,4
444,23826,13,4
863,24246,14,4
869,24252,15,4
864,24247,16,4
42,23421,17,4
861,24244,18,4
441,23823,19,4
47,23426,20,4
450,23832,21,4
49,23428,22,4
446,23828,23,4
445,23827,24,4
52,23431,25,4
59,23438,26,4
866,24249,27,4
872,24255,28,4
879,24262,29,4
48,23427,30,4
53,23432,31,4
449,23831,32,4
452,23834,33,4
58,23437,34,4
456,23838,35,4
870,24253,36,4
45,23424,37,4
448,23830,38,4
868,24251,39,4
56,23435,40,4
873,24256,41,4
877,24260,42,4
50,23429,43,4
451,23833,44,4
51,23430,45,4
878,24261,46,4
55,23434,47,4
867,24250,48,4
46,23425,49,4
459,23841,50,4
454,23836,51,4
871,24254,52,4
457,23839,53,4
54,23433,54,4
453,23835,55,4
455,23837,56,4
876,24259,57,4
875,24258,58,4
874,24257,59,4
458,23840,60,4
63,23442,1,1
460,23842,2,1
881,24264,3,1
896,24279,4,2
476,23858,5,2
61,23440,6,2
463,23845,7,3
882,24265,8,3
62,23441,9,3
473,23855,10,3
889,24272,11,4
880,24263,12,4
897,24280,13,4
887,24270,14,4
461,23843,15,4
899,24282,16,4
885,24268,17,4
76,23455,18,4
895,24278,19,4
883,24266,20,4
466,23848,21,4
475,23857,22,4
884,24267,23,4
474,23856,24,4
892,24275,25,4
478,23860,26,4
472,23854,27,4
462,23844,28,4
72,23451,29,4
886,24269,30,4
64,23443,31,4
477,23859,32,4
60,23439,33,4
467,23849,34,4
479,23861,35,4
898,24281,36,4
464,23846,37,4
893,24276,38,4
888,24271,39,4
66,23445,40,4
890,24273,41,4
73,23452,42,4
77,23456,43,4
79,23458,44,4
68,23447,45,4
465,23847,46,4
468,23850,47,4
894,24277,48,4
67,23446,49,4
891,24274,50,4
471,23853,51,4
470,23852,52,4
78,23457,53,4
469,23851,54,4
70,23449,55,4
71,23450,56,4
65,23444,57,4
75,23454,58,4
69,23448,59,4
74,23453,60,4
80,23459,1,1
480,23862,2,1
900,24283,3,1
81,23460,4,2
903,24286,5,2
483,23865,6,2
905,24288,7,3
99,23478,8,3
82,23461,9,3
91,23470,10,3
496,23878,11,4
484,23866,12,4
487,23869,13,4
482,23864,14,4
902,24285,15,4
98,23477,16,4
912,24295,17,4
904,24287,18,4
901,24284,19,4
481,23863,20,4
96,23475,21,4
909,24292,22,4
485,23867,23,4
906,24289,24,4
84,23463,25,4
919,24302,26,4
93,23472,27,4
495,23877,28,4
497,23879,29,4
494,23876,30,4
97,23476,31,4
89,23468,32,4
911,24294,33,4
85,23464,34,4
486,23868,35,4
910,24293,36,4
498,23880,37,4
92,23471,38,4
499,23881,39,4
94,23473,40,4
907,24290,41,4
913,24296,42,4
83,23462,43,4
908,24291,44,4
87,23466,45,4
86,23465,46,4
918,24301,47,4
490,23872,48,4
488,23870,49,4
489,23871,50,4
95,23474,51,4
493,23875,52,4
915,24298,53,4
914,24297,54,4
88,23467,55,4
90,23469,56,4
491,23873,57,4
492,23874,58,4
916,24299,59,4
917,24300,60,4
920,24306,1,1
502,23884,2,1
100,23479,3,1
501,23883,4,2
101,23480,5,2
921,24307,6,2
500,23882,7,3
106,23485,8,3
102,23481,9,3
503,23885,10,3
924,24310,11,4
923,24309,12,4
519,23901,13,4
104,23483,14,4
931,24317,15,4
107,23486,16,4
928,24314,17,4
505,23887,18,4
922,24308,19,4
103,23482,20,4
109,23488,21,4
929,24315,22,4
111,23490,23,4
504,23886,24,4
115,23494,25,4
513,23895,26,4
930,24316,27,4
119,23498,28,4
933,24319,29,4
507,23889,30,4
512,23894,31,4
927,24313,32,4
508,23890,33,4
514,23896,34,4
925,24311,35,4
506,23888,36,4
936,24322,37,4
509,23891,38,4
112,23491,39,4
110,23489,40,4
926,24312,41,4
939,24325,42,4
511,23893,43,4
515,23897,44,4
105,23484,45,4
113,23492,46,4
118,23497,47,4
117,23496,48,4
108,23487,49,4
114,23493,50,4
518,23900,51,4
516,23898,52,4
935,24321,53,4
938,24324,54,4
932,24318,55,4
934,24320,56,4
517,23899,57,4
510,23892,58,4
937,24323,59,4
116,23495,60,4
940,24326,1,1
120,23499,2,1
524,23906,3,1
520,23902,4,2
941,24327,5,2
123,23502,6,2
947,24333,7,3
523,23905,8,3
122,23501,9,3
956,24342,10,3
522,23904,11,4
126,23505,12,4
942,24328,13,4
525,23907,14,4
137,23516,15,4
945,24331,16,4
944,24330,17,4
532,23914,18,4
959,24345,19,4
521,23903,20,4
528,23910,21,4
135,23514,22,4
121,23500,23,4
125,23504,24,4
131,23510,25,4
537,23919,26,4
526,23908,27,4
946,24332,28,4
133,23512,29,4
943,24329,30,4
535,23917,31,4
138,23517,32,4
129,23508,33,4
127,23506,34,4
130,23509,35,4
953,24339,36,4
527,23909,37,4
954,24340,38,4
950,24336,39,4
531,23913,40,4
952,24338,41,4
124,23503,42,4
533,23915,43,4
538,23920,44,4
958,24344,45,4
949,24335,46,4
128,23507,47,4
139,23518,48,4
539,23921,49,4
136,23515,50,4
951,24337,51,4
134,23513,52,4
536,23918,53,4
530,23912,54,4
529,23911,55,4
948,24334,56,4
955,24341,57,4
534,23916,58,4
132,23511,59,4
957,24343,60,4
540,23922,1,1
960,24346,2,1
144,23523,3,1
544,23926,4,2
543,23925,5,2
962,24348,6,2
143,23522,7,3
140,23519,8,3
964,24350,9,3
153,23532,10,3
141,23520,11,4
541,23923,12,4
963,24349,13,4
152,23531,14,4
968,24354,15,4
542,23924,16,4
969,24355,17,4
545,23927,18,4
154,23533,19,4
146,23525,20,4
159,23538,21,4
157,23536,22,4
145,23524,23,4
546,23928,24,4
156,23535,25,4
142,23521,26,4
961,24347,27,4
558,23940,28,4
155,23534,29,4
976,24362,30,4
551,23933,31,4
970,24356,32,4
550,23932,33,4
148,23527,34,4
158,23537,35,4
151,23530,36,4
149,23528,37,4
548,23930,38,4
555,23937,39,4
965,24351,40,4
967,24353,41,4
150,23529,42,4
547,23929,43,4
966,24352,44,4
979,24365,45,4
975,24361,46,4
974,24360,47,4
147,23526,48,4
549,23931,49,4
559,23941,50,4
557,23939,51,4
971,24357,52,4
552,23934,53,4
972,24358,54,4
554,23936,55,4
973,24359,56,4
556,23938,57,4
977,24363,58,4
978,24364,59,4
553,23935,60,4
575,23957,1,1
984,24370,2,1
163,23545,3,1
161,23543,4,2
162,23544,5,2
164,23546,6,2
981,24367,7,3
986,24372,8,3
561,23943,9,3
577,23959,10,3
562,23944,11,4
997,24383,12,4
160,23542,13,4
985,24371,14,4
980,24366,15,4
578,23960,16,4
560,23942,17,4
179,23561,18,4
983,24369,19,4
564,23946,20,4
178,23560,21,4
982,24368,22,4
165,23547,23,4
567,23949,24,4
563,23945,25,4
988,24374,26,4
167,23549,27,4
998,24384,28,4
171,23553,29,4
565,23947,30,4
574,23956,31,4
989,24375,32,4
177,23559,33,4
991,24377,34,4
995,24381,35,4
172,23554,36,4
579,23961,37,4
570,23952,38,4
170,23552,39,4
166,23548,40,4
571,23953,41,4
993,24379,42,4
173,23555,43,4
573,23955,44,4
992,24378,45,4
176,23558,46,4
990,24376,47,4
572,23954,48,4
987,24373,49,4
169,23551,50,4
175,23557,51,4
566,23948,52,4
994,24380,53,4
576,23958,54,4
996,24382,55,4
568,23950,56,4
168,23550,57,4
174,23556,58,4
999,24385,59,4
569,23951,60,4
180,23562,1,1
1000,24386,2,1
581,23963,3,1
186,23568,4,2
580,23962,5,2
182,23564,6,2
1003,24389,7,3
1015,24401,8,3
582,23964,9,3
1002,24388,10,3
584,23966,11,4
183,23565,12,4
1004,24390,13,4
595,23977,14,4
187,23569,15,4
594,23982,16,4
1001,24387,17,4
1010,24396,18,4
588,23970,19,4
586,23968,20,4
1006,24392,21,4
185,23567,22,4
596,23978,23,4
192,23574,24,4
190,23572,25,4
587,23969,26,4
583,23965,27,4
590,23972,28,4
199,23581,29,4
184,23566,30,4
191,23573,31,4
1018,24404,32,4
1019,24405,33,4
181,23563,34,4
1009,24395,35,4
1007,24393,36,4
1011,24397,37,4
585,23967,38,4
188,23570,39,4
1017,24403,40,4
197,23579,41,4
1005,24391,42,4
196,23578,43,4
194,23576,44,4
597,23979,45,4
195,23577,46,4
198,23580,47,4
599,23981,48,4
589,23971,49,4
592,23974,50,4
189,23571,51,4
1008,24394,52,4
1016,24402,53,4
1012,24398,54,4
598,23980,55,4
593,23975,56,4
193,23575,57,4
591,23973,58,4
1014,24400,59,4
1013,24399,60,4
1028,24414,1,1
203,23585,2,1
200,23582,3,1
617,24000,4,2
1033,24419,5,2
600,23983,6,2
602,23985,7,3
201,23583,8,3
610,23993,9,3
219,23601,10,3
205,23587,11,4
1020,24406,12,4
603,23986,13,4
204,23586,14,4
1031,24417,15,4
605,23988,16,4
615,23998,17,4
601,23984,18,4
1026,24412,19,4
1027,24413,20,4
604,23987,21,4
202,23584,22,4
607,23990,23,4
1034,24420,24,4
208,23590,25,4
612,23995,26,4
209,23591,27,4
212,23594,28,4
211,23593,29,4
1035,24421,30,4
1036,24422,31,4
619,24002,32,4
218,23600,33,4
618,24001,34,4
1024,24410,35,4
1032,24418,36,4
216,23598,37,4
1038,24424,38,4
1039,24425,39,4
611,23994,40,4
1021,24407,41,4
614,23997,42,4
606,23989,43,4
214,23596,44,4
1037,24423,45,4
1023,24409,46,4
616,23999,47,4
206,23588,48,4
207,23589,49,4
1022,24408,50,4
613,23996,51,4
1030,24416,52,4
608,23991,53,4
213,23595,54,4
1025,24411,55,4
609,23992,56,4
210,23592,57,4
217,23599,58,4
215,23597,59,4
1029,24415,60,4
620,24003,1,1
220,23602,2,1
1040,24426,3,1
221,23603,4,2
621,24004,5,2
223,23605,6,2
222,23604,7,3
1042,24428,8,3
622,24005,9,3
1045,24431,10,3
1041,24427,11,4
1043,24429,12,4
238,23620,13,4
237,23619,14,4
638,24021,15,4
224,23606,16,4
623,24006,17,4
228,23610,18,4
627,24010,19,4
626,24009,20,4
225,23607,21,4
624,24007,22,4
1048,24434,23,4
234,23616,24,4
1047,24433,25,4
233,23615,26,4
1059,24445,27,4
1052,24438,28,4
629,24012,29,4
637,24020,30,4
226,23608,31,4
632,24015,32,4
625,24008,33,4
1046,24432,34,4
232,23614,35,4
628,24011,36,4
1051,24437,37,4
239,23621,38,4
631,24014,39,4
236,23618,40,4
630,24013,41,4
1044,24430,42,4
230,23612,43,4
229,23611,44,4
227,23609,45,4
1049,24435,46,4
1053,24439,47,4
636,24019,48,4
231,23613,49,4
634,24017,50,4
1050,24436,51,4
1055,24441,52,4
1054,24440,53,4
235,23617,54,4
633,24016,55,4
1057,24443,56,4
1056,24442,57,4
635,24018,58,4
639,24022,59,4
1058,24444,60,4
641,24024,1,1
240,23622,2,1
1061,24447,3,1
640,24023,4,2
1063,24449,5,2
1060,24446,6,2
242,23624,7,3
656,24039,8,3
655,24038,9,3
246,23628,10,3
244,23626,11,4
1079,24465,12,4
1075,24461,13,4
645,24028,14,4
642,24025,15,4
245,23627,16,4
647,24030,17,4
1071,24457,18,4
250,23632,19,4
646,24029,20,4
1073,24459,21,4
1062,24448,22,4
1076,24462,23,4
1070,24456,24,4
1072,24458,25,4
258,23640,26,4
654,24037,27,4
241,23623,28,4
249,23631,29,4
658,24041,30,4
1067,24453,31,4
644,24027,32,4
243,23625,33,4
1064,24450,34,4
648,24031,35,4
247,23629,36,4
1065,24451,37,4
259,23641,38,4
252,23634,39,4
653,24036,40,4
1078,24464,41,4
659,24042,42,4
255,23637,43,4
650,24033,44,4
256,23638,45,4
1068,24454,46,4
254,23636,47,4
1074,24460,48,4
1069,24455,49,4
251,23633,50,4
651,24034,51,4
248,23630,52,4
657,24040,53,4
1077,24463,54,4
652,24035,55,4
253,23635,56,4
649,24032,57,4
643,24026,58,4
1066,24452,59,4
257,23639,60,4
1082,24468,1,1
660,24043,2,1
260,23642,3,1
277,23659,4,2
663,24046,5,2
1092,24478,6,2
661,24044,7,3
1080,24466,8,3
261,23643,9,3
1094,24480,10,3
276,23658,11,4
279,23661,12,4
278,23660,13,4
1085,24471,14,4
664,24047,15,4
1083,24469,16,4
665,24048,17,4
675,24058,18,4
273,23655,19,4
1081,24467,20,4
1097,24483,21,4
265,23647,22,4
679,24062,23,4
269,23651,24,4
1084,24470,25,4
662,24045,26,4
272,23654,27,4
262,23644,28,4
671,24054,29,4
677,24060,30,4
266,23648,31,4
268,23650,32,4
676,24059,33,4
1095,24481,34,4
1091,24477,35,4
1087,24473,36,4
1099,24485,37,4
667,24050,38,4
668,24051,39,4
673,24056,40,4
1088,24474,41,4
271,23653,42,4
1089,24475,43,4
669,24052,44,4
264,23646,45,4
263,23645,46,4
270,23652,47,4
672,24055,48,4
275,23657,49,4
267,23649,50,4
1098,24484,51,4
1093,24479,52,4
666,24049,53,4
1096,24482,54,4
274,23656,55,4
678,24061,56,4
1090,24476,57,4
674,24057,58,4
670,24053,59,4
1086,24472,60,4
281,23663,1,1
680,24063,2,1
1103,24489,3,1
682,24065,4,2
1100,24486,5,2
299,23681,6,2
282,23664,7,3
1101,24487,8,3
280,23662,9,3
685,24068,10,3
681,24064,11,4
1105,24491,12,4
684,24067,13,4
1102,24488,14,4
290,23672,15,4
289,23671,16,4
686,24069,17,4
699,24082,18,4
295,23677,19,4
694,24077,20,4
1106,24492,21,4
284,23666,22,4
286,23668,23,4
1116,24502,24,4
291,23673,25,4
683,24066,26,4
697,24080,27,4
691,24074,28,4
1108,24494,29,4
294,23676,30,4
292,23674,31,4
1104,24490,32,4
689,24072,33,4
1111,24497,34,4
1109,24495,35,4
1110,24496,36,4
1107,24493,37,4
695,24078,38,4
1117,24503,39,4
687,24070,40,4
285,23667,41,4
296,23678,42,4
283,23665,43,4
288,23670,44,4
287,23669,45,4
293,23675,46,4
1113,24499,47,4
692,24075,48,4
298,23680,49,4
690,24073,50,4
688,24071,51,4
1114,24500,52,4
1112,24498,53,4
696,24079,54,4
1118,24504,55,4
698,24081,56,4
1119,24505,57,4
297,23679,58,4
693,24076,59,4
1115,24501,60,4
300,23682,1,1
1120,24506,2,1
700,24083,3,1
1124,24510,4,2
318,23700,5,2
302,23684,6,2
1137,24523,7,3
702,24085,8,3
707,24090,9,3
1122,24508,10,3
703,24086,11,4
301,23683,12,4
307,23689,13,4
305,23687,14,4
701,24084,15,4
1127,24513,16,4
710,24093,17,4
1139,24525,18,4
1121,24507,19,4
1125,24511,20,4
1123,24509,21,4
708,24091,22,4
1128,24514,23,4
313,23695,24,4
1129,24515,25,4
304,23686,26,4
308,23690,27,4
303,23685,28,4
715,24098,29,4
1138,24524,30,4
713,24096,31,4
316,23698,32,4
1134,24520,33,4
705,24088,34,4
1132,24518,35,4
711,24094,36,4
716,24099,37,4
1130,24516,38,4
704,24087,39,4
717,24100,40,4
309,23691,41,4
311,23693,42,4
706,24089,43,4
709,24092,44,4
1126,24512,45,4
714,24097,46,4
306,23688,47,4
314,23696,48,4
310,23692,49,4
1131,24517,50,4
712,24095,51,4
1136,24522,52,4
312,23694,53,4
315,23697,54,4
319,23701,55,4
1133,24519,56,4
718,24101,57,4
1135,24521,58,4
317,23699,59,4
719,24102,60,4
720,24103,1,1
320,23702,2,1
1142,24528,3,1
1141,24527,4,2
321,23703,5,2
724,24107,6,2
1143,24529,7,3
1145,24531,8,3
725,24108,9,3
722,24105,10,3
337,23719,11,4
727,24110,12,4
1157,24543,13,4
739,24122,14,4
336,23718,15,4
325,23707,16,4
721,24104,17,4
322,23704,18,4
728,24111,19,4
1152,24538,20,4
1140,24526,21,4
1154,24540,22,4
331,23713,23,4
734,24117,24,4
335,23717,25,4
324,23706,26,4
723,24106,27,4
1150,24536,28,4
1144,24530,29,4
732,24115,30,4
730,24113,31,4
1156,24542,32,4
326,23708,33,4
333,23715,34,4
733,24116,35,4
1159,24545,36,4
338,23720,37,4
729,24112,38,4
1146,24532,39,4
323,23705,40,4
738,24121,41,4
1158,24544,42,4
339,23721,43,4
1151,24537,44,4
1153,24539,45,4
328,23710,46,4
1148,24534,47,4
327,23709,48,4
737,24120,49,4
726,24109,50,4
736,24119,51,4
329,23711,52,4
330,23712,53,4
1149,24535,54,4
735,24118,55,4
334,23716,56,4
1147,24533,57,4
1155,24541,58,4
332,23714,59,4
731,24114,60,4
742,24125,1,1
348,23730,2,1
1160,24546,3,1
343,23725,4,2
1161,24547,5,2
1163,24549,6,2
1164,24550,7,3
342,23724,8,3
743,24126,9,3
358,23740,10,3
755,24138,11,4
340,23722,12,4
740,24123,13,4
1179,24565,14,4
341,23723,15,4
344,23726,16,4
1165,24551,17,4
1162,24548,18,4
1169,24555,19,4
758,24141,20,4
347,23729,21,4
345,23727,22,4
354,23736,23,4
1167,24553,24,4
1178,24564,25,4
759,24142,26,4
359,23741,27,4
1168,24554,28,4
351,23733,29,4
1172,24558,30,4
346,23728,31,4
1166,24552,32,4
750,24133,33,4
355,23737,34,4
1174,24560,35,4
744,24127,36,4
757,24140,37,4
350,23732,38,4
349,23731,39,4
1176,24562,40,4
353,23735,41,4
745,24128,42,4
756,24139,43,4
1173,24559,44,4
1170,24556,45,4
1171,24557,46,4
746,24129,47,4
356,23738,48,4
1175,24561,49,4
357,23739,50,4
741,24124,51,4
352,23734,52,4
747,24130,53,4
1177,24563,54,4
754,24137,55,4
752,24135,56,4
753,24136,57,4
749,24132,58,4
751,24134,59,4
748,24131,60,4
763,24146,1,1
360,23742,2,1
1181,24567,3,1
776,24159,4,2
367,23749,5,2
362,23744,6,2
761,24144,7,3
1199,24585,8,3
762,24145,9,3
765,24148,10,3
364,23746,11,4
363,23745,12,4
760,24143,13,4
361,23743,14,4
1184,24570,15,4
779,24162,16,4
379,23761,17,4
764,24147,18,4
770,24153,19,4
365,23747,20,4
377,23759,21,4
1197,24583,22,4
1182,24568,23,4
774,24157,24,4
1183,24569,25,4
1189,24575,26,4
378,23760,27,4
767,24150,28,4
1180,24566,29,4
778,24161,30,4
369,23751,31,4
374,23756,32,4
368,23750,33,4
775,24158,34,4
766,24149,35,4
370,23752,36,4
1186,24572,37,4
366,23748,38,4
771,24154,39,4
768,24151,40,4
1187,24573,41,4
1185,24571,42,4
773,24156,43,4
777,24160,44,4
1188,24574,45,4
772,24155,46,4
1194,24580,47,4
373,23755,48,4
769,24152,49,4
1195,24581,50,4
375,23757,51,4
372,23754,52,4
1190,24576,53,4
1192,24578,54,4
376,23758,55,4
1191,24577,56,4
371,23753,57,4
1193,24579,58,4
1196,24582,59,4
1198,24584,60,4
780,24163,1,1
1206,24592,2,1
381,23763,3,1
785,24168,4,2
1216,24602,5,2
1213,24599,6,2
382,23764,7,3
782,24165,8,3
399,23781,9,3
1200,24586,10,3
383,23765,11,4
1210,24596,12,4
783,24166,13,4
781,24164,14,4
788,24171,15,4
384,23766,16,4
385,23767,17,4
784,24167,18,4
387,23769,19,4
380,23762,20,4
392,23774,21,4
787,24170,22,4
1219,24605,23,4
388,23770,24,4
1212,24598,25,4
793,24176,26,4
1201,24587,27,4
391,23773,28,4
794,24177,29,4
1203,24589,30,4
1207,24593,31,4
1205,24591,32,4
796,24179,33,4
792,24175,34,4
390,23772,35,4
799,24182,36,4
798,24181,37,4
786,24169,38,4
1214,24600,39,4
386,23768,40,4
393,23775,41,4
1217,24603,42,4
791,24174,43,4
389,23771,44,4
789,24172,45,4
1204,24590,46,4
398,23780,47,4
795,24178,48,4
397,23779,49,4
1202,24588,50,4
1208,24594,51,4
790,24173,52,4
1218,24604,53,4
1209,24595,54,4
396,23778,55,4
395,23777,56,4
797,24180,57,4
1211,24597,58,4
1215,24601,59,4
394,23776,60,4
800,24183,1,1
1220,24606,2,1
801,24184,3,1
1224,24610,4,2
803,24186,5,2
1225,24611,6,2
818,24201,7,3
1221,24607,8,3
1222,24608,9,3
802,24185,10,3
808,24191,11,4
1227,24613,12,4
816,24199,13,4
809,24192,14,4
804,24187,15,4
1230,24616,16,4
1231,24617,17,4
1233,24619,18,4
819,24202,19,4
813,24196,20,4
810,24193,21,4
1234,24620,22,4
1229,24615,23,4
1226,24612,24,4
805,24188,25,4
806,24189,26,4
1239,24625,27,4
1228,24614,28,4
817,24200,29,4
1232,24618,30,4
1237,24623,31,4
807,24190,32,4
1223,24609,33,4
811,24194,34,4
1235,24621,35,4
814,24197,36,4
815,24198,37,4
1236,24622,38,4
812,24195,39,4
1238,24624,40,4
